,Timepoint,Condition,PBMC_sample,Cell_Type,MFI,Positive_Percentage
258,48,PBMC_Only,CD3neg_PBMC,CD86_B,2600.6666666666665,93.5
259,48,PBMC_Only,CD3neg_PBMC,CD86_DC,4392.333333333333,91.5
260,48,PBMC_Only,CD3neg_PBMC,CD86_MO,2135.3333333333335,90.76666666666667
261,48,PBMC_Only,CD3neg_PBMC,DR_B,54054.666666666664,100.0
262,48,PBMC_Only,CD3neg_PBMC,DR_DC,29599.666666666668,99.56666666666666
263,48,PBMC_Only,CD3neg_PBMC,DR_MO,18392.0,99.93333333333334
264,48,PBMC_Only,TW,CD40_B,1953.0,93.8
265,48,PBMC_Only,TW,CD40_DC,976.3333333333334,50.56666666666666
266,48,PBMC_Only,TW,CD40_MO,877.0,47.43333333333334
267,48,PBMC_Only,TW,CD80_B,37.666666666666664,1.3533333333333335
268,48,PBMC_Only,TW,CD80_DC,115.0,5.586666666666667
269,48,PBMC_Only,TW,CD80_MO,112.66666666666667,2.9166666666666665
270,48,PBMC_Only,TW,CD86_B,2349.6666666666665,91.66666666666667
271,48,PBMC_Only,TW,CD86_DC,4977.333333333333,93.33333333333333
272,48,PBMC_Only,TW,CD86_MO,2980.6666666666665,98.03333333333335
273,48,PBMC_Only,TW,DR_B,48474.333333333336,100.0
274,48,PBMC_Only,TW,DR_DC,35719.333333333336,99.86666666666667
275,48,PBMC_Only,TW,DR_MO,28165.333333333332,99.93333333333334
276,48,PBMC_Only,Whole_PBMC,CD40_B,2744.6666666666665,97.86666666666667
277,48,PBMC_Only,Whole_PBMC,CD40_DC,1504.3333333333333,69.53333333333335
278,48,PBMC_Only,Whole_PBMC,CD40_MO,1298.3333333333333,67.33333333333333
279,48,PBMC_Only,Whole_PBMC,CD80_B,49.76666666666667,2.1466666666666665
280,48,PBMC_Only,Whole_PBMC,CD80_DC,136.66666666666666,9.950000000000001
281,48,PBMC_Only,Whole_PBMC,CD80_MO,122.33333333333333,4.973333333333333
282,48,PBMC_Only,Whole_PBMC,CD86_B,2709.6666666666665,94.36666666666667
283,48,PBMC_Only,Whole_PBMC,CD86_DC,6587.666666666667,95.76666666666667
284,48,PBMC_Only,Whole_PBMC,CD86_MO,3054.6666666666665,97.86666666666667
285,48,PBMC_Only,Whole_PBMC,DR_B,56298.333333333336,100.0
286,48,PBMC_Only,Whole_PBMC,DR_DC,47254.333333333336,99.46666666666665
